time_received,Number of Vehicles
14793109050,5
14793109051,6
14793109052,5
14793109053,5
14793109054,5
14793109055,5
14793109056,5
14793109057,6
14793109058,4
14793109059,5
14793109060,5
14793109061,4
14793109062,5
14793109063,5
14793109064,5
14793109065,6
14793109066,4
14793109067,7
14793109068,6
14793109069,6
14793109070,7
14793109071,6
14793109072,6
14793109073,6
14793109074,6
14793109075,6
14793109076,6
14793109077,6
14793109078,6
14793109079,5
14793109080,6
14793109081,6
14793109082,7
14793109083,4
14793109084,6
14793109085,6
14793109086,6
14793109087,6
14793109088,6
14793109089,6
14793109090,6
14793109091,6
14793109092,6
14793109093,6
14793109094,6
14793109095,6
14793109096,6
14793109097,6
14793109098,6
14793109099,6
14793109100,4
14793109101,6
14793109102,6
14793109103,6
14793109104,6
14793109105,6
14793109106,6
14793109107,5
14793109108,5
14793109109,5
14793109110,5
14793109111,6
14793109112,5
14793109113,5
14793109114,5
14793109115,5
14793109116,5
14793109117,6
14793109118,5
14793109119,6
14793109120,5
14793109121,6
14793109122,5
14793109123,5
14793109124,6
14793109125,6
14793109126,6
14793109127,6
14793109128,4
14793109129,5
14793109130,5
14793109131,5
14793109132,5
14793109133,4
14793109134,4
14793109135,5
14793109136,4
14793109137,4
14793109138,5
14793109139,4
14793109140,5
14793109141,5
14793109142,5
14793109143,5
14793109144,5
14793109145,4
14793109146,5
14793109147,5
14793109148,4
14793109149,4
14793109150,5
14793109151,3
14793109152,5
14793109153,4
14793109154,5
14793109155,5
14793109156,5
14793109157,5
14793109158,5
14793109159,4
14793109160,5
14793109161,4
14793109162,3
14793109163,5
14793109164,4
14793109165,4
14793109166,4
14793109167,5
14793109168,5
14793109169,5
14793109170,5
14793109171,5
14793109172,5
14793109173,5
14793109174,5
14793109175,5
14793109176,5
14793109177,5
14793109178,5
14793109179,5
14793109180,5
14793109181,5
14793109182,5
14793109183,5
14793109184,5
14793109185,5
14793109186,5
14793109187,5
14793109188,5
14793109189,5
14793109190,5
14793109191,4
14793109192,6
14793109193,5
14793109194,4
14793109195,5
14793109196,4
14793109197,5
14793109198,5
14793109199,5
14793109200,5
14793109201,4
14793109202,5
14793109203,6
14793109204,4
14793109205,5
14793109206,5
14793109207,5
14793109208,5
14793109209,3
14793109210,6
14793109211,4
14793109212,6
14793109213,5
14793109214,5
14793109215,4
14793109216,6
14793109217,5
14793109218,3
14793109219,6
14793109220,5
14793109221,4
14793109222,5
14793109223,5
14793109224,5
14793109225,5
14793109226,5
14793109227,5
14793109228,5
14793109229,5
14793109230,5
14793109231,6
14793109232,4
14793109233,6
14793109234,5
14793109235,6
14793109236,5
14793109237,5
14793109238,5
14793109239,5
14793109240,5
14793109241,5
14793109242,5
14793109243,6
14793109244,5
14793109245,5
14793109246,5
14793109247,5
14793109248,5
14793109249,5
14793109250,5
14793109251,5
14793109252,5
14793109253,3
14793109254,6
14793109255,5
14793109256,5
14793109257,5
14793109258,4
14793109259,5
14793109260,5
14793109261,5
14793109262,5
14793109263,5
14793109264,5
14793109265,5
14793109266,4
14793109267,6
14793109268,4
14793109269,6
14793109270,4
14793109271,5
14793109272,3
14793109273,5
14793109274,6
14793109275,5
14793109276,4
14793109277,6
14793109278,4
14793109279,6
14793109280,5
14793109281,4
14793109282,6
14793109283,5
14793109284,5
14793109285,5
14793109286,5
14793109287,5
14793109288,3
14793109289,5
14793109290,6
14793109291,5
14793109292,5
14793109293,3
14793109294,4
14793109295,5
14793109296,5
14793109297,5
14793109298,5
14793109299,5
14793109300,5
14793109301,5
14793109302,4
14793109303,5
14793109304,5
14793109305,5
14793109306,5
14793109307,5
14793109308,5
14793109309,5
14793109310,5
14793109311,5
14793109312,4
14793109313,6
14793109314,5
14793109315,4
14793109316,5
14793109317,5
14793109318,5
14793109319,4
14793109320,6
14793109321,3
14793109322,5
14793109323,5
14793109324,4
14793109325,5
14793109326,5
14793109327,5
14793109328,2
14793109329,2
14793109330,5
14793109331,4
14793109332,4
14793109333,4
14793109334,4
14793109335,4
14793109336,5
14793109337,4
14793109338,5
14793109339,5
14793109340,5
14793109341,4
14793109342,6
14793109343,4
14793109344,5
14793109345,4
14793109346,5
14793109347,6
14793109348,4
14793109349,5
14793109350,5
14793109351,4
14793109352,4
14793109353,5
14793109354,5
14793109355,5
14793109356,4
14793109357,5
14793109358,4
14793109359,5
14793109360,5
14793109361,3
14793109362,3
14793109363,4
14793109364,4
14793109365,4
14793109366,4
14793109367,4
14793109368,4
14793109369,4
14793109370,4
14793109371,5
14793109372,4
14793109373,5
14793109374,4
14793109375,5
14793109376,5
14793109377,4
14793109378,4
14793109379,4
14793109380,4
14793109381,4
14793109382,3
14793109383,7
14793109384,5
14793109385,5
14793109386,5
14793109387,4
14793109388,5
14793109389,5
14793109390,5
14793109391,6
14793109392,5
14793109393,5
14793109394,5
14793109395,4
14793109396,5
14793109397,5
14793109398,4
14793109399,4
14793109400,4
14793109401,4
14793109402,4
14793109403,4
14793109404,3
14793109405,4
14793109406,5
14793109407,4
14793109408,4
14793109409,4
14793109410,4
14793109411,4
14793109412,4
14793109413,5
14793109414,4
14793109415,6
14793109416,5
14793109417,4
14793109418,5
14793109419,3
14793109420,5
14793109421,3
14793109422,5
14793109423,5
14793109424,5
14793109425,5
14793109426,5
14793109427,5
14793109428,5
14793109429,6
14793109430,6
14793109431,6
14793109432,6
14793109433,4
14793109434,4
14793109435,4
14793109436,7
14793109437,5
14793109438,6
14793109439,5
14793109440,6
14793109441,5
14793109442,5
14793109443,5
14793109444,5
14793109445,5
14793109446,5
14793109447,5
14793109448,6
14793109449,5
14793109450,4
14793109451,5
14793109452,6
14793109453,5
14793109454,5
14793109455,5
14793109456,5
14793109457,5
14793109458,5
14793109459,4
14793109460,5
14793109461,3
14793109462,6
14793109463,4
14793109464,5
14793109465,3
14793109466,6
14793109467,5
14793109468,5
14793109469,7
14793109470,5
14793109471,6
14793109472,6
14793109473,7
14793109474,6
14793109475,7
14793109476,7
14793109477,7
14793109478,5
14793109479,6
14793109480,5
14793109481,6
14793109482,5
14793109483,6
14793109484,4
14793109485,4
14793109486,6
14793109487,4
14793109488,4
14793109489,6
14793109490,5
14793109491,5
14793109492,5
14793109493,6
14793109494,3
14793109495,6
14793109496,3
14793109497,5
14793109498,4
14793109499,5
14793109500,4
14793109501,6
14793109502,6
14793109503,5
14793109504,3
14793109505,4
14793109506,3
14793109507,4
14793109508,4
14793109509,3
14793109510,4
14793109511,2
14793109512,5
14793109513,4
14793109514,5
14793109515,3
14793109516,4
14793109517,4
14793109518,4
14793109519,4
14793109520,5
14793109521,4
14793109522,4
14793109523,3
14793109524,3
14793109525,4
14793109526,3
14793109527,4
14793109528,4
14793109529,3
14793109530,3
14793109531,4
14793109532,5
14793109533,3
14793109534,3
14793109535,5
14793109536,4
14793109537,4
14793109538,5
14793109539,4
14793109540,3
14793109541,2
14793109542,4
14793109543,5
14793109544,4
14793109545,3
14793109546,4
14793109547,4
14793109548,5
14793109549,4
14793109550,4
14793109551,4
14793109552,3
14793109553,4
14793109554,4
14793109555,4
14793109556,4
14793109557,4
14793109558,3
14793109559,2
14793109560,5
14793109561,3
14793109562,4
14793109563,5
14793109564,4
14793109565,4
14793109566,5
14793109567,5
14793109568,5
14793109569,4
14793109570,3
14793109571,3
14793109572,2
14793109573,4
14793109574,2
14793109575,3
14793109576,2
14793109577,3
14793109578,3
14793109579,4
14793109580,4
14793109581,3
14793109582,5
14793109583,4
14793109584,3
14793109585,4
14793109586,4
14793109587,4
14793109588,5
14793109589,3
14793109590,7
14793109591,4
14793109592,4
14793109593,3
14793109594,6
14793109595,2
14793109596,3
14793109597,4
14793109598,4
14793109599,3
14793109600,3
14793109601,4
14793109602,4
14793109603,2
14793109604,2
14793109605,4
14793109606,6
14793109607,3
14793109608,4
14793109609,4
14793109610,2
14793109611,4
14793109612,3
14793109613,2
14793109614,4
14793109615,4
14793109616,4
14793109617,4
14793109618,3
14793109619,6
14793109620,4
14793109621,5
14793109622,4
14793109623,3
14793109624,5
14793109625,5
14793109626,5
14793109627,4
14793109628,6
14793109629,3
14793109630,5
14793109631,5
14793109632,3
14793109633,5
14793109634,4
14793109635,5
14793109636,5
14793109637,5
14793109638,6
14793109639,6
14793109640,3
14793109641,7
14793109642,6
14793109643,4
14793109644,3
14793109645,3
14793109646,3
14793109647,7
14793109648,4
14793109649,4
14793109650,4
14793109651,4
14793109652,4
14793109653,4
14793109654,5
14793109655,3
14793109656,4
14793109657,4
14793109658,4
14793109659,5
14793109660,5
14793109661,4
14793109662,6
14793109663,5
14793109664,6
14793109665,5
14793109666,7
14793109667,5
14793109668,7
14793109669,4
14793109670,5
14793109671,6
14793109672,7
14793109673,5
14793109674,5
14793109675,4
14793109676,6
14793109677,5
14793109678,4
14793109679,4
14793109680,5
14793109681,4
14793109682,7
14793109683,4
14793109684,6
14793109685,4
14793109686,5
14793109687,5
14793109688,5
14793109689,5
14793109690,6
14793109691,6
14793109692,5
14793109693,7
14793109694,6
14793109695,5
14793109696,4
14793109697,4
14793109698,4
14793109699,5
14793109700,4
14793109701,4
14793109702,4
14793109703,4
14793109704,4
14793109705,4
14793109706,5
14793109707,4
14793109708,4
14793109709,4
14793109710,5
14793109711,5
14793109712,5
14793109713,5
14793109714,4
14793109715,4
14793109716,5
14793109717,4
14793109718,4
14793109719,6
14793109720,4
14793109721,3
14793109722,4
14793109723,3
14793109724,3
14793109725,5
14793109726,4
14793109727,3
14793109728,4
14793109729,3
14793109730,3
14793109731,4
14793109732,5
14793109733,3
14793109734,6
14793109735,5
14793109736,3
14793109737,4
14793109738,5
14793109739,5
14793109740,4
14793109741,5
14793109742,6
14793109743,5
14793109744,5
14793109745,6
14793109746,5
14793109747,4
14793109748,3
14793109749,7
14793109750,4
14793109751,3
14793109752,4
14793109753,4
14793109754,3
14793109755,6
14793109756,4
14793109757,4
14793109758,3
14793109759,4
14793109760,4
14793109761,4
14793109762,4
14793109763,4
14793109764,4
14793109765,5
14793109766,5
14793109767,4
14793109768,4
14793109769,4
14793109770,4
14793109771,4
14793109772,5
14793109773,4
14793109774,3
14793109775,3
14793109776,3
14793109777,3
14793109778,3
14793109779,3
14793109780,2
14793109781,3
14793109782,4
14793109783,1
14793109784,3
14793109785,3
14793109786,3
14793109787,4
14793109788,4
14793109789,5
14793109790,2
14793109791,3
14793109792,4
14793109793,3
14793109794,3
14793109795,3
14793109796,3
14793109797,2
14793109798,4
14793109799,3
14793109800,2
14793109801,3
14793109802,3
14793109803,4
14793109804,3
14793109805,4
14793109806,3
14793109807,3
14793109808,4
14793109809,4
14793109810,2
14793109811,3
14793109812,4
14793109813,4
14793109814,4
14793109815,4
14793109816,3
14793109817,5
14793109818,3
14793109819,4
14793109820,4
14793109821,3
14793109822,5
14793109823,4
14793109824,4
14793109825,4
14793109826,4
14793109827,4
14793109828,4
14793109829,4
14793109830,4
14793109831,5
14793109832,3
14793109833,4
14793109834,5
14793109835,5
14793109836,3
14793109837,3
14793109838,5
14793109839,4
14793109840,6
14793109841,5
14793109842,7
14793109843,6
14793109844,6
14793109845,6
14793109846,5
14793109847,5
14793109848,6
14793109849,4
14793109850,3
14793109851,5
14793109852,5
14793109853,5
14793109854,4
14793109855,4
14793109856,5
14793109857,5
14793109858,6
14793109859,3
14793109860,6
14793109861,6
14793109862,7
14793109863,4
14793109864,5
14793109865,4
14793109866,4
14793109867,4
14793109868,2
14793109869,4
14793109870,4
14793109871,4
14793109872,5
14793109873,6
14793109874,7
14793109875,5
14793109876,5
14793109877,7
