time_received,False,True
14793109050,0,5
14793109051,1,5
14793109052,0,5
14793109053,0,5
14793109054,0,5
14793109055,0,5
14793109056,0,5
14793109057,1,5
14793109058,0,4
14793109059,0,5
14793109060,1,4
14793109061,1,3
14793109062,1,4
14793109063,1,4
14793109064,0,5
14793109065,1,5
14793109066,0,4
14793109067,1,6
14793109068,1,5
14793109069,1,5
14793109070,1,6
14793109071,1,5
14793109072,1,5
14793109073,1,5
14793109074,1,5
14793109075,1,5
14793109076,1,5
14793109077,1,5
14793109078,1,5
14793109079,1,4
14793109080,1,5
14793109081,1,5
14793109082,1,6
14793109083,1,3
14793109084,1,5
14793109085,1,5
14793109086,1,5
14793109087,1,5
14793109088,1,5
14793109089,1,5
14793109090,1,5
14793109091,1,5
14793109092,1,5
14793109093,1,5
14793109094,1,5
14793109095,1,5
14793109096,1,5
14793109097,1,5
14793109098,1,5
14793109099,1,5
14793109100,1,3
14793109101,1,5
14793109102,1,5
14793109103,1,5
14793109104,1,5
14793109105,1,5
14793109106,1,5
14793109107,0,5
14793109108,0,5
14793109109,0,5
14793109110,0,5
14793109111,1,5
14793109112,0,5
14793109113,0,5
14793109114,0,5
14793109115,0,5
14793109116,1,4
14793109117,0,6
14793109118,0,5
14793109119,1,5
14793109120,0,5
14793109121,1,5
14793109122,0,5
14793109123,1,4
14793109124,1,5
14793109125,1,5
14793109126,1,5
14793109127,1,5
14793109128,0,4
14793109129,1,4
14793109130,1,4
14793109131,1,4
14793109132,1,4
14793109133,0,4
14793109134,0,4
14793109135,2,3
14793109136,0,4
14793109137,1,3
14793109138,1,4
14793109139,1,3
14793109140,1,4
14793109141,1,4
14793109142,1,4
14793109143,1,4
14793109144,1,4
14793109145,1,3
14793109146,0,5
14793109147,0,5
14793109148,0,4
14793109149,0,4
14793109150,0,5
14793109151,0,3
14793109152,0,5
14793109153,0,4
14793109154,0,5
14793109155,0,5
14793109156,0,5
14793109157,0,5
14793109158,0,5
14793109159,0,4
14793109160,0,5
14793109161,0,4
14793109162,0,3
14793109163,0,5
14793109164,0,4
14793109165,0,4
14793109166,0,4
14793109167,0,5
14793109168,0,5
14793109169,0,5
14793109170,0,5
14793109171,0,5
14793109172,0,5
14793109173,0,5
14793109174,0,5
14793109175,0,5
14793109176,0,5
14793109177,0,5
14793109178,0,5
14793109179,0,5
14793109180,0,5
14793109181,0,5
14793109182,0,5
14793109183,0,5
14793109184,0,5
14793109185,0,5
14793109186,0,5
14793109187,0,5
14793109188,0,5
14793109189,0,5
14793109190,0,5
14793109191,0,4
14793109192,0,6
14793109193,0,5
14793109194,0,4
14793109195,0,5
14793109196,0,4
14793109197,0,5
14793109198,0,5
14793109199,0,5
14793109200,0,5
14793109201,0,4
14793109202,0,5
14793109203,0,6
14793109204,0,4
14793109205,0,5
14793109206,0,5
14793109207,0,5
14793109208,0,5
14793109209,0,3
14793109210,0,6
14793109211,0,4
14793109212,0,6
14793109213,0,5
14793109214,0,5
14793109215,0,4
14793109216,0,6
14793109217,0,5
14793109218,0,3
14793109219,0,6
14793109220,0,5
14793109221,0,4
14793109222,0,5
14793109223,0,5
14793109224,0,5
14793109225,0,5
14793109226,0,5
14793109227,0,5
14793109228,0,5
14793109229,0,5
14793109230,0,5
14793109231,0,6
14793109232,0,4
14793109233,0,6
14793109234,0,5
14793109235,0,6
14793109236,0,5
14793109237,0,5
14793109238,0,5
